"text","date","likes","business_id","user_id"
"Great breakfast large portions and friendly waitress. I highly recommend it","2015-08-12","0","jH19V2I9fIslnNhDzPmdkA","ZcLKXikTHYOnYt5VYRO5sg"
"Nice place. Great staff.  A fixture in the township forever","2014-06-20","0","dAa0hB2yrnHzVmsCkN4YvQ","oaYhjqBbh18ZhU0bpyzSuw"
"Happy hour 5-7 Monday - Friday","2016-10-12","0","dAa0hB2yrnHzVmsCkN4YvQ","ulQ8Nyj7jCUR8M83SUMoRQ"
"Parking is a premium, keep circling, you will eventually find a great spot","2017-01-28","0","ESzO3Av0b1_TzKOiqzbQYQ","ulQ8Nyj7jCUR8M83SUMoRQ"
"Homemade pasta is the best in the area","2017-02-25","0","k7WRPbDd7rztjHcGGkEjlw","ulQ8Nyj7jCUR8M83SUMoRQ"
"Excellent service, staff is dressed professionally, polite, mannered, and well trained","2017-04-08","0","k7WRPbDd7rztjHcGGkEjlw","ulQ8Nyj7jCUR8M83SUMoRQ"
"Come early on Sunday's to avoid the rush","2016-07-03","0","SqW3igh1_Png336VIb5DUA","ulQ8Nyj7jCUR8M83SUMoRQ"
"Love their soup!","2016-01-07","0","KNpcPGqDORDdvtekXd348w","ulQ8Nyj7jCUR8M83SUMoRQ"
"Soups are fantastic!","2016-05-22","0","KNpcPGqDORDdvtekXd348w","ulQ8Nyj7jCUR8M83SUMoRQ"
"Thursday night is $5 burger night","2016-06-09","0","KNpcPGqDORDdvtekXd348w","ulQ8Nyj7jCUR8M83SUMoRQ"
"Very good for lunch, bread and soup are excellent","2016-06-01","0","8qNOI6Q1-rJrvWWD5Btz6w","ulQ8Nyj7jCUR8M83SUMoRQ"
"Tuesday spaghetti special  all day $5.59 includes soup or salad and bread","2016-06-14","0","8qNOI6Q1-rJrvWWD5Btz6w","ulQ8Nyj7jCUR8M83SUMoRQ"
"Sunday $.55 bone-in wings
Monday $.55 boneless wings","2016-08-22","0","--ujyvoQlwVoBgMYtADiLA","ulQ8Nyj7jCUR8M83SUMoRQ"
"There isn't a bad seat in the house!","2017-01-21","0","FCUVjQf762no86Uzcbv1Tg","ulQ8Nyj7jCUR8M83SUMoRQ"
"Nice happy hour m-f 5-7pm and th-fr 10pm-12am","2016-06-13","0","Tl_jT2a0bRMac5_YW65GPg","ulQ8Nyj7jCUR8M83SUMoRQ"
