post_id,comment,created_at,author_id
Yb2lzZilR6vnx0fffPSx8w,Cappuccino: extra foamy and served at the right temperature!,2014-05-17,q07Bb6swWSPvAn0VwA2YTA,
nsEO3MRzYLKfgtID7gvArw,This is not Sonoran mexican food this is Mexico city, Mexico style. A whole different region when it comes to regional foods within the country of Mexico. Just went there last night and it was delicious, from scratch as it should be. Yes, the 35th ave location is still alive and just as good as ever. 5\/19\/14,2014-05-20,NiqcReE6LJvRskp5KDpNZw,
nsEO3MRzYLKfgtID7gvArw,Yummy!!!!!,2014-10-27,5qim4Gec8KP7mBfKbtSMOQ,
eS29S_06lvsDW04wVrIVxg,Excellent guacamole!,2012-09-28,5qim4Gec8KP7mBfKbtSMOQ,
vz8HFGsITt6aj-nyXkAEFg,Excellent! My fish was perfect.,2014-10-28,5qim4Gec8KP7mBfKbtSMOQ,
P7pxQFqr7yBKMMI2J51udw,Bloody Mary's are fantastic. Appetizers are different and the food was top notch. Stayed at the cosmopolitan and ate here twice. Definately recommend,2013-01-27,5qim4Gec8KP7mBfKbtSMOQ,
nsEO3MRzYLKfgtID7gvArw,Excellent food and service!,2015-07-06,eJ1GPlQ2R8FJEpplutl94A,
nsEO3MRzYLKfgtID7gvArw,Food was okay but service and prices are great. I would eat here again.,2015-11-05,JV8WNixJ6L2_2rYxTW3h3Q,
Qe9LBkscg4oxrNcx-ypdqg,Thank you Dennie's for supporting our Veterans! The Grand Slam was AWSOME!,2015-11-11,JV8WNixJ6L2_2rYxTW3h3Q,
bI4emjU96ZvGQRTwxItd2w,I absolutely love this place! Amazing food and awesome pricing!,2017-10-12,JV8WNixJ6L2_2rYxTW3h3Q,
nsEO3MRzYLKfgtID7gvArw,Luv this spot!!  Anytime I'm in AZ I gotta grub here at least twice,2016-03-01,BFzKXAlWBW6l8vGjjdxlcg,
nsEO3MRzYLKfgtID7gvArw,they have rude workers!,2016-05-12,JHCv4asR5PXackH4B5H-ug,
hEJ8MYnnc7am1tJ8aDbrqg,ake my word! You will regret applying within this company, apply somewhere else!,2015-07-27,JHCv4asR5PXackH4B5H-ug,
nsEO3MRzYLKfgtID7gvArw,Great food. Chilaquiles suizos are the bomb.,2017-03-17,S3qp5WBzrWg67jDo0D4YfA,
3Xq-bUUpRF9qi3MIXPY8cQ,Good food,2017-03-12,S3qp5WBzrWg67jDo0D4YfA,
nsEO3MRzYLKfgtID7gvArw,This placed closed!!!! It is about time,2017-09-25,lEb-nRlVqej9sKjno4rSNQ,
eQfYZrSuzE6B4vkmu74H6w,With my babes!! Just won a Jordan jersey playing Hot Shot!!!! Nice!!!,2011-10-29,shRTGhzww5H526beVn6cxg,
Z7nGSKvjmHNRkXtoMxA3Jw,A lil pre-Thanksgiving dinner with the Misses!!!,2011-11-19,shRTGhzww5H526beVn6cxg,
h6Y1-KfN2XBkcrV85CS8yg,Great food and service!!!,2012-06-23,shRTGhzww5H526beVn6cxg,
0N2y8rNxbet6p4UIBWTOrw,The fries are bland.  Get a salad.,2014-03-12,aSo8b495Tfjw_8Idg94Fqw,
0N2y8rNxbet6p4UIBWTOrw,Great sauce,2014-03-17,aSo8b495Tfjw_8Idg94Fqw,
oRRU93M-gYqcnes16GuZTw,The hummus is good.,2014-04-29,aSo8b495Tfjw_8Idg94Fqw,
8RdsWc09Scotx4YD1GgPKg,It's all pretty good, step out and try something new.,2014-05-15,aSo8b495Tfjw_8Idg94Fqw,
twrgw3ZaMEiS87sN5ahuuw,Try the open faces supreme with green chili.,2014-06-05,aSo8b495Tfjw_8Idg94Fqw,
xEBor41OFpeeKdcCZ2sfMg,Pollo a la crema..... Do it.,2014-08-16,aSo8b495Tfjw_8Idg94Fqw,
abHiuwC0FPSlZ9ALiVPtgg,Don't eat here.  That's my tip,2017-01-29,aSo8b495Tfjw_8Idg94Fqw,
L2p0vO3fsS2LC6hhQo3CzA,Do your self a favor and have the waffles.,2016-03-08,Nr9DqPA8N07tWSdvzaB7oQ,
0PFf3RKtDQyHnrdcPo8zMQ,Soooo good! My new favorite place!,2014-04-14,SMBVhgdvsPQAoX4HZ8fP1A,
