post_id,comment,created_at,author_id
1JEmBa6NYiJAOkRcHviEmw,Knowledgeable aestheticians, friendly and polite staff, great stylists. I highly recommend Michelle for eye brows and other waxing services. Christine is a wonderful stylist. I've been a happy patron for years.,2012-10-19,1fr_eXG-FIeIK_jMcEhe5g
F2pfjAZ_3dMTGCKv6c5wOw,Delicious Spicy Mango margaritas! Can't go wrong with the guacamole.,2014-02-28,1fr_eXG-FIeIK_jMcEhe5g
X1v2lPPXgJGaIufxJHvZCA,Year of the restaurant. Trying all the great spots of #cle! Bimbimbap and the seafood pancake were delicious!,2013-12-23,1fr_eXG-FIeIK_jMcEhe5g
BhSBdVYkrRwijEWqI9yFXQ,Great neighborhood feel, great regulars,great selection. Watching the Browns,2014-11-30,wic4ygVpaP7aRVDCedCWDw
EGDg1FDT0Pnszd04mQkHxQ,Indie shop. Best in the area been around at least 40 years??,2014-07-15,wic4ygVpaP7aRVDCedCWDw
yT9kKGqkbLE66gHPDHDAfQ,Great place to go. Honest price,great customer service, no yo selling.,2014-07-31,wic4ygVpaP7aRVDCedCWDw
De3H_BPFam3bJHPrbI93xA,Man caving at Cousins Chagrin with the fellas and Indians baseball.,2015-07-02,wic4ygVpaP7aRVDCedCWDw
tulUhFYMvBkYHsjmn30A9w,They'll make a veggie polish boy.. fries, Cole slaw,greens.i love out but you have to make sure they drain it... the greens.,2014-08-07,wic4ygVpaP7aRVDCedCWDw
u1qzJu0JwbKU-HjIFjq8kw,Check often for local musicians doing open Mic!,2014-07-11,wic4ygVpaP7aRVDCedCWDw
Zs8LPufciU-jDpbAVFqKcA,Some of the best Chinese around since 1976,2014-07-19,wic4ygVpaP7aRVDCedCWDw
KRSDpiJ-OC3Qa8Tnq5CvuA,My first haircut in Cleveland ... Great job by Ryan! Friendly service.,2017-02-04,KKS97DndTcypcizR5sApTg
v2eP8dvyDnKGPKvIQ5eCcg,Friendly efficient and fast service this Saturday morning.,2017-01-07,KKS97DndTcypcizR5sApTg
1wAIVR71cLfupzNsk13Ryg,Coffee was good but the baker good options were limited. Friendly staff and service,2017-01-07,KKS97DndTcypcizR5sApTg
KRSDpiJ-OC3Qa8Tnq5CvuA,Ask for Ryan if you wanna get an ombre! She is hands down the best hairdresser for ombres!! :),2014-06-06,SaSXRzjHx3SMTNnW90PetA
fihcqcjpMWTSGiR_dWLOcw,Great study spot!,2013-10-12,SaSXRzjHx3SMTNnW90PetA
fihcqcjpMWTSGiR_dWLOcw,Music is not too loud, so this place is great for getting work done!,2014-06-02,SaSXRzjHx3SMTNnW90PetA
fihcqcjpMWTSGiR_dWLOcw,The Oprah Chai latte is surprisingly good :),2014-06-26,SaSXRzjHx3SMTNnW90PetA
mZ8ZBfxKvNCIEHoBfak8MQ,I absolutely love their smoked salmon bagel! But is $7 worth it?,2013-11-05,SaSXRzjHx3SMTNnW90PetA
bPSCoxuJNflgrQVCNpa4YA,There's a study room on the second floor!,2014-02-19,SaSXRzjHx3SMTNnW90PetA
GREUapStr7mD3L528tefVQ,$10 minimum for credit card, or 50 cents charge!,2014-06-19,SaSXRzjHx3SMTNnW90PetA
s1EoUW0UQAt7REkcDl-X6A,Horrible service! Dont come here if you can!!,2014-06-05,SaSXRzjHx3SMTNnW90PetA
0xUKfmnzPSl8HQz-K_-0Ew,Seriously the best pumpkin spice latte in town!!,2013-11-13,SaSXRzjHx3SMTNnW90PetA
orrrhqRRUORIzUSxWTveKg,Get the coconut gelato!,2014-06-11,SaSXRzjHx3SMTNnW90PetA
qIMgYEui542vapZdq-VL1Q,Best mall in Cleveland area!,2014-01-18,SaSXRzjHx3SMTNnW90PetA
nM1o8xXR9YFP9gLtfqiROg,The hardCORE workout was a quick 30 minute amazing HARDCORE workout!,2014-05-23,SaSXRzjHx3SMTNnW90PetA
nM1o8xXR9YFP9gLtfqiROg,Hips, buns and thighs workout class is the most intense 45 minute workout session ever! Will leave you sore for dayzzzz,2014-05-27,SaSXRzjHx3SMTNnW90PetA
