post_id,hashtag_id
BDjZ5us1RyBGEQRgUeF7Tg,37
BDjZ5us1RyBGEQRgUeF7Tg,325
BxpdFe_30TiexNlAHUEOiA,7
BxpdFe_30TiexNlAHUEOiA,9
BxpdFe_30TiexNlAHUEOiA,8
BxpdFe_30TiexNlAHUEOiA,13
lE9cHmE0btdTHx1OOxYeUQ,13
lE9cHmE0btdTHx1OOxYeUQ,132
UyJbADm5Ub0csALtG6vnZg,60
UyJbADm5Ub0csALtG6vnZg,120
UyJbADm5Ub0csALtG6vnZg,336
UyJbADm5Ub0csALtG6vnZg,337
MZKmrAWB5O05-NyC46TWRg,13
MZKmrAWB5O05-NyC46TWRg,162
MZKmrAWB5O05-NyC46TWRg,52
kutBK7PzZ-XxsiMimfOMfQ,8
kutBK7PzZ-XxsiMimfOMfQ,9
QvOyuo7qAsCU-LOo_g-jiw,276
QvOyuo7qAsCU-LOo_g-jiw,8
QvOyuo7qAsCU-LOo_g-jiw,32
QvOyuo7qAsCU-LOo_g-jiw,9
QvOyuo7qAsCU-LOo_g-jiw,13
QvOyuo7qAsCU-LOo_g-jiw,21
QvOyuo7qAsCU-LOo_g-jiw,72
31urmczKt2RmqvFmBAuQGA,11
31urmczKt2RmqvFmBAuQGA,13
31urmczKt2RmqvFmBAuQGA,12
xG2DxjHdoUf3frxogIeTAg,37
xG2DxjHdoUf3frxogIeTAg,47
xG2DxjHdoUf3frxogIeTAg,96
xG2DxjHdoUf3frxogIeTAg,272
xG2DxjHdoUf3frxogIeTAg,97
xG2DxjHdoUf3frxogIeTAg,95
xG2DxjHdoUf3frxogIeTAg,229
xG2DxjHdoUf3frxogIeTAg,419
xG2DxjHdoUf3frxogIeTAg,94
N9jmzeBT-6vQxbpC9yl8Aw,7
N9jmzeBT-6vQxbpC9yl8Aw,13
m97lSHaZFEosl-tpY4yNGA,111
m97lSHaZFEosl-tpY4yNGA,240
m97lSHaZFEosl-tpY4yNGA,290
m97lSHaZFEosl-tpY4yNGA,172
m97lSHaZFEosl-tpY4yNGA,37
m97lSHaZFEosl-tpY4yNGA,421
m97lSHaZFEosl-tpY4yNGA,2
m97lSHaZFEosl-tpY4yNGA,319
m97lSHaZFEosl-tpY4yNGA,81
m97lSHaZFEosl-tpY4yNGA,265
m97lSHaZFEosl-tpY4yNGA,6
p2pb0AJfuo0rqmcoS2GAuw,34
p2pb0AJfuo0rqmcoS2GAuw,35
p2pb0AJfuo0rqmcoS2GAuw,18
p2pb0AJfuo0rqmcoS2GAuw,33
_2Gq_cx7z2CXHddwEV5CMQ,303
_2Gq_cx7z2CXHddwEV5CMQ,553
_2Gq_cx7z2CXHddwEV5CMQ,704
_2Gq_cx7z2CXHddwEV5CMQ,37
Hsy7cPae2su8o0sLRnFyFw,6
Hsy7cPae2su8o0sLRnFyFw,37
Hsy7cPae2su8o0sLRnFyFw,172
dxlWVB53GMjhldtCyfFIcA,60
dxlWVB53GMjhldtCyfFIcA,182
ROydqb0-_anykeJGB1_uUA,301
ROydqb0-_anykeJGB1_uUA,18
Q90LWaOS5vzcWItKN0sbsA,77
Q90LWaOS5vzcWItKN0sbsA,340
Q90LWaOS5vzcWItKN0sbsA,179
Q90LWaOS5vzcWItKN0sbsA,180
u-FC5R7ZpW3-jpvXq-rBIg,58
u-FC5R7ZpW3-jpvXq-rBIg,6
92Eu-1ImrF2kwpnccxN62Q,65
92Eu-1ImrF2kwpnccxN62Q,64
92Eu-1ImrF2kwpnccxN62Q,13
92Eu-1ImrF2kwpnccxN62Q,140
92Eu-1ImrF2kwpnccxN62Q,50
92Eu-1ImrF2kwpnccxN62Q,396
92Eu-1ImrF2kwpnccxN62Q,17
rzSSdFtz6_v4fgS2ueQl-A,96
rzSSdFtz6_v4fgS2ueQl-A,97
rzSSdFtz6_v4fgS2ueQl-A,95
rzSSdFtz6_v4fgS2ueQl-A,37
rzSSdFtz6_v4fgS2ueQl-A,187
7mCuFbcrCsMpgVetbbpvIg,187
7mCuFbcrCsMpgVetbbpvIg,95
7mCuFbcrCsMpgVetbbpvIg,97
7mCuFbcrCsMpgVetbbpvIg,37
7mCuFbcrCsMpgVetbbpvIg,96
7mCuFbcrCsMpgVetbbpvIg,590
JkzE5CUAh1J5XvQ4tUJ3yQ,13
JkzE5CUAh1J5XvQ4tUJ3yQ,161
GqyoE7UWGDCXbzGTOEKTVg,276
GqyoE7UWGDCXbzGTOEKTVg,13
GqyoE7UWGDCXbzGTOEKTVg,21
ars2VnqAdzUKcr9xs7CU7g,127
ars2VnqAdzUKcr9xs7CU7g,128
QDCtlsSsBAmEzFs8E3V_aA,67
QDCtlsSsBAmEzFs8E3V_aA,13
QDCtlsSsBAmEzFs8E3V_aA,79
QDCtlsSsBAmEzFs8E3V_aA,11
XmYHiNs11r7943qzJTMr-g,260
XmYHiNs11r7943qzJTMr-g,261
XmYHiNs11r7943qzJTMr-g,17
MLVnaAgR3FD2O9mBTKDqoQ,13
MLVnaAgR3FD2O9mBTKDqoQ,565
MLVnaAgR3FD2O9mBTKDqoQ,20
MLVnaAgR3FD2O9mBTKDqoQ,57
AIiDJpO02tGACmf-9A427Q,653
AIiDJpO02tGACmf-9A427Q,22
4mNkxkZpHI3lbB22ULrEoQ,47
4mNkxkZpHI3lbB22ULrEoQ,623
J76qDaF8iPl-8y2tYFhXbw,141
J76qDaF8iPl-8y2tYFhXbw,11
J76qDaF8iPl-8y2tYFhXbw,9
J76qDaF8iPl-8y2tYFhXbw,8
J76qDaF8iPl-8y2tYFhXbw,719
J76qDaF8iPl-8y2tYFhXbw,13
J76qDaF8iPl-8y2tYFhXbw,17
sUACyfwfOG_YbfePwZ7vMw,93
sUACyfwfOG_YbfePwZ7vMw,251
sUACyfwfOG_YbfePwZ7vMw,30
CL1wZ2PuzUXG6PzjRZQICw,13
CL1wZ2PuzUXG6PzjRZQICw,538
CL1wZ2PuzUXG6PzjRZQICw,794
pgj64_k4QEOReoY5OgVkgg,60
pgj64_k4QEOReoY5OgVkgg,665
pgj64_k4QEOReoY5OgVkgg,181
pgj64_k4QEOReoY5OgVkgg,404
IhQ1dM-1_e2AIGcICmNpog,97
IhQ1dM-1_e2AIGcICmNpog,153
IhQ1dM-1_e2AIGcICmNpog,145
IhQ1dM-1_e2AIGcICmNpog,37
alwUoS-FCTFOMUlfcPBYcg,6
alwUoS-FCTFOMUlfcPBYcg,58
pmJqSsCfgbo3TxPWpQNLIw,13
pmJqSsCfgbo3TxPWpQNLIw,87
pmJqSsCfgbo3TxPWpQNLIw,7
yNUQ_B_xz_HGcWXQYMRZwg,815
yNUQ_B_xz_HGcWXQYMRZwg,37
yNUQ_B_xz_HGcWXQYMRZwg,97
yNUQ_B_xz_HGcWXQYMRZwg,96
yNUQ_B_xz_HGcWXQYMRZwg,238
yNUQ_B_xz_HGcWXQYMRZwg,184
guAmqNzm28jlbuQO0AHvYQ,164
guAmqNzm28jlbuQO0AHvYQ,60
guAmqNzm28jlbuQO0AHvYQ,22
Bjn-GQg6hoUOkew7tTPcLA,189
Bjn-GQg6hoUOkew7tTPcLA,8
Bjn-GQg6hoUOkew7tTPcLA,293
Bjn-GQg6hoUOkew7tTPcLA,76
Bjn-GQg6hoUOkew7tTPcLA,54
Bjn-GQg6hoUOkew7tTPcLA,37
dZ4haBsXeESSij53suTQ2w,13
dZ4haBsXeESSij53suTQ2w,80
z61ppZjZkBJI9iz0wTf5nQ,102
z61ppZjZkBJI9iz0wTf5nQ,8
z61ppZjZkBJI9iz0wTf5nQ,9
aMbwapu2goUGHo9YNef_hw,1010
aMbwapu2goUGHo9YNef_hw,244
aMbwapu2goUGHo9YNef_hw,54
aMbwapu2goUGHo9YNef_hw,311
aMbwapu2goUGHo9YNef_hw,782
aMbwapu2goUGHo9YNef_hw,44
aMbwapu2goUGHo9YNef_hw,47
KhF4QdgfrywfYRe7Yze7JQ,187
KhF4QdgfrywfYRe7Yze7JQ,96
KhF4QdgfrywfYRe7Yze7JQ,449
KhF4QdgfrywfYRe7Yze7JQ,97
KhF4QdgfrywfYRe7Yze7JQ,37
JLBzX4IyYgiogvhmTsSX7g,9
JLBzX4IyYgiogvhmTsSX7g,344
JLBzX4IyYgiogvhmTsSX7g,254
JLBzX4IyYgiogvhmTsSX7g,8
9w9s-y67NabMF6tx87jEmw,38
9w9s-y67NabMF6tx87jEmw,39
9w9s-y67NabMF6tx87jEmw,40
9w9s-y67NabMF6tx87jEmw,501
9w9s-y67NabMF6tx87jEmw,280
9w9s-y67NabMF6tx87jEmw,37
9w9s-y67NabMF6tx87jEmw,41
KN5W6mXc6Xzv7UZGNnZGRQ,61
KN5W6mXc6Xzv7UZGNnZGRQ,90
KN5W6mXc6Xzv7UZGNnZGRQ,22
KN5W6mXc6Xzv7UZGNnZGRQ,321
KN5W6mXc6Xzv7UZGNnZGRQ,60
KN5W6mXc6Xzv7UZGNnZGRQ,134
KN5W6mXc6Xzv7UZGNnZGRQ,37
KN5W6mXc6Xzv7UZGNnZGRQ,75
KN5W6mXc6Xzv7UZGNnZGRQ,367
IMHIVSZjVt9g8fY1UPCMOw,18
IMHIVSZjVt9g8fY1UPCMOw,35
IMHIVSZjVt9g8fY1UPCMOw,315
qQvHYQ1uocuEnFcUdhxV_g,20
qQvHYQ1uocuEnFcUdhxV_g,24
qQvHYQ1uocuEnFcUdhxV_g,361
qQvHYQ1uocuEnFcUdhxV_g,92
qQvHYQ1uocuEnFcUdhxV_g,13
qQvHYQ1uocuEnFcUdhxV_g,72
qQvHYQ1uocuEnFcUdhxV_g,17
qQvHYQ1uocuEnFcUdhxV_g,7
7sAt_dIT-tcC1TsS1_jXHQ,30
7sAt_dIT-tcC1TsS1_jXHQ,233
7sAt_dIT-tcC1TsS1_jXHQ,6
7sAt_dIT-tcC1TsS1_jXHQ,231
Dy3CZvibDHjJlgcCnUpXig,98
Dy3CZvibDHjJlgcCnUpXig,64
Dy3CZvibDHjJlgcCnUpXig,77
S7g7QxNIYwkhgZRRymzAUg,17
S7g7QxNIYwkhgZRRymzAUg,230
S7g7QxNIYwkhgZRRymzAUg,16
S7g7QxNIYwkhgZRRymzAUg,13
q9_gLvTNf11etVxbH7JY0Q,151
q9_gLvTNf11etVxbH7JY0Q,17
q9_gLvTNf11etVxbH7JY0Q,70
q9_gLvTNf11etVxbH7JY0Q,13
_g2OKStHyXBjYr_j2DvP-Q,17
_g2OKStHyXBjYr_j2DvP-Q,15
tmxCHyJ-w7vI2spzjjy2-A,265
tmxCHyJ-w7vI2spzjjy2-A,6
tmxCHyJ-w7vI2spzjjy2-A,172
tmxCHyJ-w7vI2spzjjy2-A,37
tmxCHyJ-w7vI2spzjjy2-A,199
