post_id,author_id,private,title,content_body,created_at
v_d6EgHYgDkbQNWGGOpfnA,V2iRFPM1nTVUmE2fkGumZg,True,East End Community Thrift,5123 Penn Ave,2020-03-17
fGcnPMp-ZNdO9hQ3hqIM8A,fDaMBE-dkUH55GZ4tzdHmg,True,Tireworks,4420 N Decatur Blvd,2020-01-22
C8TpgbERG0dmXkVLLTCb5w,-2lxAO26iJ8_5yi3qKsQYQ,True,Smog Busters,3707 E Flamingo Rd,2020-03-19
Yrx2O9FOKgbwllht6D9LFw,lQmsE2_H0uItcs5pVqKwhA,False,Echterdinger Waldheimstuben,Waldheimweg 11,2020-01-21
GC3sJ_gyPTUHyOrPQQTwTw,8jyprhL33rfIkmpwiT0VAQ,False,Golden Corral,7609 W Thomas Rd,2020-03-30
VQkrYJgDZIDsnaphQh1ZDw,vq2jvMJFaFwMtbW32kFaQQ,True,Osco!,360 Rue Saint-Antoine O,2020-03-12
Na4PriVltR13E48ZdVRl6A,z8Q4b3UFKYjEuuy6VkFpqA,False,McDonald's,4618 William Flynn Hwy,2020-04-07
OclZP460tGH6FVo7c4dT-Q,PWKiyzQU6YzdLXmb9xG5fQ,False,Blind Occasions,14254 N 24th Ln,2020-02-08
--z7PM8AGaJP0aBmGMY7RA,heZzZANhMHeEz12ovn1P4Q,False,Nacho Mobile Auto Repair,2954 Westwood Dr,2020-02-15
bqNL_vUZlmRdinCMamLjUQ,deI5du96We1sa0sl950p8A,True,Tribe 3,80 Broughton Street,2020-03-22
Jw4V61vV9mVehd4B9z7mKg,3dvt50-W-t3xb80fu214Mw,True,Masterhands,7181 North Hualapai Way,2020-01-01
3L8D5tGJ4FzQQo6ZMvbVYg,cuzX9pk0ZuPFZS0MHJJ6xA,False,The Lodge Sasquatch Kitchen,26 S Farmer Ave,2020-02-10
BmIJ_sPpIpIKsP3vubus8g,boa781xF-EX7TJIsVg55mQ,False,Cornerstone Park,1600 Wigwam Pkwy,2020-03-26
auoRRvZSd2v2FOxbzPjLRw,8rObidKmuCf3aaxPp1lcfQ,True,Lakeshore Honda,3526 Lake Shore Boulevard W,2020-03-05
opDtZ8AMJ86FFFEnt4lMgA,fY3AeA7RWUoJTgDYTA-8qw,True,Dollar Tree,6575 S Fort Apache Rd,2020-03-19
ocZv9DHZaf9tkJyzxL5tbg,u20FERvIzPnpxrpG5bJnSQ,True,Pasta II,718 Brookline Blvd,2020-03-22
DJwotSDp_2oqFqEwA6KHtQ,k24Yl3fUR-3dcOvsZusX1g,True,Posare Salon,8414 W Farm Rd,2020-01-13
QjrlhT1f6awH3gE8vAcTXw,5lwEYLB12D7Bflni6thuWQ,False,Ingomar Barber Shop,700 W Ingomar Rd,2020-04-04
