user_id,follower_id,followed_at
289vr040Wb-fmZG203Bcgw,HlamCVJV7qbOocJZYsd0AQ,2020-02-20
289vr040Wb-fmZG203Bcgw,dEdDqvNYI_vOP8l4qougHw,2020-02-20
jFs2LiuLQg-dWfNvjIiBbQ,3B1G429Xq3hjBbEYYU-PDg,2020-02-22
jFs2LiuLQg-dWfNvjIiBbQ,Re-5OYDoxDqH7SjiU3shWA,2020-02-22
l0ZOPNTAT-Y2wt86-JP9yw,dIIKEfOgo0KqUfGQvGikPg,2020-01-21
FTxG51kzmBTwbdYgAoqbdg,dIIKEfOgo0KqUfGQvGikPg,2020-03-18
pp5XhQjv9zMQrSEPo6tgww,5TlRAl8pjaSDPcRTyDHdGA,2020-01-12
pp5XhQjv9zMQrSEPo6tgww,pX4aX7UQ8H9zrBknmWLYUg,2020-01-12
ZmVj-kKCaP3R1weezSgPRg,ipVdqOLXAOfjRdep5y1a3A,2020-01-14
ZmVj-kKCaP3R1weezSgPRg,Plu5wyb241ez1nszdojeDg,2020-01-14
SjKd8HuqCMqJbkDn228mrA,cAmd-fttNSq-8zgreIy2YQ,2020-01-05
SjKd8HuqCMqJbkDn228mrA,BI4lPhrUpmEySIJUywjIjQ,2020-01-05
iihIhxuYObRHGCjJZG8bjg,N_GCDLRq_EssIY-wStxOoQ,2020-01-22
zlwDRZ5RvcVNZktZk4wStA,hIOPtkYp7lVqLpu1y8NHdg,2020-03-19
p7_sJUPcljGYXmPZifVFLQ,PhUqhfyk3jdaS0Xb619RJQ,2020-03-31
p7_sJUPcljGYXmPZifVFLQ,eYQSrKJMCMjufbsP0HL3vA,2020-03-31
7sGmU3CU4Kysv9Ch8BWt5A,7mSCsPEswt8nG1wPgGfFkw,2020-02-25
ldJD571wB4x6_8-POzbdEA,-Ur3nt7h-onHTqC08Ewo2g,2020-03-01
ldJD571wB4x6_8-POzbdEA,h4Qg79SYZEKY50hBQ0P_HQ,2020-03-01
ldJD571wB4x6_8-POzbdEA,fj_OzdrK65enTXFBpFV3BA,2020-03-01
-ILGXVP3nMaJfgJ6i0V7_A,-TJxHbisZahgOzgMepiMAg,2020-04-01
-ILGXVP3nMaJfgJ6i0V7_A,UOMSN12IGpju4sKwIJQE_Q,2020-04-01
ZsbMfofEaJBSjAf5aljjNA,YQMcAVJD8-dDXVxfB-ed3w,2020-03-09
rHtS4bF7bjgtE8BnYuz1vQ,ZHBr3KD9j2IcXj9b346I8Q,2020-03-11
JZVr-Jvgm0UPKnZRZjsYvA,gIW9xElVgqEf2p2HaUur8g,2020-01-04
JZVr-Jvgm0UPKnZRZjsYvA,xcZo4LD1AgwH-aeKD2Rvtw,2020-01-04
Jnx8GE372nbzljZ5VqZcGA,uvRVutQ_Gu-OivL6ox0ouQ,2020-01-01
Jnx8GE372nbzljZ5VqZcGA,MszYVprSTo1aLDDgWM6Xdw,2020-01-01
Jnx8GE372nbzljZ5VqZcGA,k2eR74OKSgQI0qn7TrGiYQ,2020-01-01
BgvaMfksRjIJPaeYs69DDg,H99cnvo74w07yjuHAI4dkQ,2020-01-15
BgvaMfksRjIJPaeYs69DDg,zK4R5IFl5aBqePPEd0fvxw,2020-01-15
rNJtphUidehvK0qQLGRvoA,Qf20Yc9ZTpozuGhjyGrzqw,2020-01-12
09aA-cFuDWv4OoExaCbylg,f5AzyVdIDASkl8kAJSZq7Q,2020-03-20
MHpE3ji-LJxAOjd4lTpo2A,WBmTZq5MrRYT7UBffkLmIQ,2020-02-15
MHpE3ji-LJxAOjd4lTpo2A,NPayJHyV4lhR86QUS3HgTw,2020-02-15
Vj5fsqJrBwB0FKn1uDlvxQ,KLoEkHgC5wrORHdPpPq70Q,2020-03-16
Vj5fsqJrBwB0FKn1uDlvxQ,GGTF7hnQi6D5W77_qiKlqg,2020-03-16
gAQnLgWU6ypEQXy-f5msAw,ae3qusoF3IwcQuL7QIx1dQ,2020-03-28
gAQnLgWU6ypEQXy-f5msAw,M0CjUeV3D233JVS76fy2BQ,2020-03-28
gAQnLgWU6ypEQXy-f5msAw,yZ3Zm1fBfqlBWhFikW7MEw,2020-03-28
cm3_8c_NDhPcpwJQ96Aixw,dmXpg_unok3cL3eW3RI0fA,2020-02-01
cm3_8c_NDhPcpwJQ96Aixw,yT_QCcnq-QGipWWuzIpvtw,2020-02-01
cm3_8c_NDhPcpwJQ96Aixw,PNSPNmEp_ro9tX6AuLBwBA,2020-02-01
cm3_8c_NDhPcpwJQ96Aixw,gZoZ5ibKXvuIMOU-y1uVsA,2020-02-01
aNqsJ068o4XPa8xS1rxMnw,_mACgcpZaj_wi_SnwQXFFw,2020-02-10
0R3oBwBUtrBkjcqAzxdYBQ,N_IFBJrVN5CVRNi4UmKf1g,2020-04-08
2LrBrlLMsxZyT_BblZ7gdQ,xK5mpFzMTY4xxCGjK1Uw6w,2020-02-29
HqIXxAG45SR4WHg9mqonYA,TuH5QG6QkOPQYwBiVIVd1A,2020-01-09
GMV4-aXC8M0c-vBi9k4Jsg,OCLd-9Rg7a4mN5BeV7x4jQ,2020-01-04
GMV4-aXC8M0c-vBi9k4Jsg,7t1wCGrDLY0DeUh5vvx6aA,2020-01-04
MznSIYLow7xJsU2IeObp5A,d95RmKAZnTHvbRVGiatAZg,2020-03-13
MznSIYLow7xJsU2IeObp5A,kLspThXD2v59fLCyqTueKw,2020-03-13
jUf5YNRcCgZqHrThOneDGw,T_lB8d4x_MGihZvIAjckJA,2020-03-08
jUf5YNRcCgZqHrThOneDGw,FOy0Qrkw54VKDEWIw7T-jw,2020-03-08
jUf5YNRcCgZqHrThOneDGw,rqnoQ-smWd8fN4m53-VLOw,2020-03-08
I_J3at0yKXqHkbAhau9JCg,AizjzrZT9S-R-pR2IvEW6g,2020-03-25
30FP-cpXLwpGXLx7KLahJw,OxYc8z4-U3mX2Rdo_HLYnQ,2020-03-12
30FP-cpXLwpGXLx7KLahJw,_pmllVgrK8xvvTJq53jIZQ,2020-03-12
Ofcs8ShrtxBZa--s9M1-kg,JYxt5_1tAoIVHYRZ2PkKcw,2020-01-18
Ofcs8ShrtxBZa--s9M1-kg,CZpXYFSFPbV6_7oBHLXrSQ,2020-01-18
dr6Q56_BZ053TwYFdZbj0Q,EWsKTBrNMpaeNun8kTMRDA,2020-02-28
